Date,Day,Wom,Month,Year,Offered,Adj-off
24-Jan-14,Friday,4,Jan,2014,381,381
25-Jan-14,Saturday,4,Jan,2014,213,213
26-Jan-14,Sunday,4,Jan,2014,150,150
27-Jan-14,Monday,4,Jan,2014,390,390
28-Jan-14,Tuesday,4,Jan,2014,340,340
29-Jan-14,Wednesday,5,Jan,2014,349,349
30-Jan-14,Thursday,5,Jan,2014,326,326
31-Jan-14,Friday,5,Jan,2014,333,333
1-Feb-14,Saturday,1,Feb,2014,212,212
2-Feb-14,Sunday,1,Feb,2014,144,144
3-Feb-14,Monday,1,Feb,2014,328,328
4-Feb-14,Tuesday,1,Feb,2014,336,336
5-Feb-14,Wednesday,1,Feb,2014,315,315
6-Feb-14,Thursday,1,Feb,2014,336,336
7-Feb-14,Friday,1,Feb,2014,393,393
8-Feb-14,Saturday,2,Feb,2014,252,252
9-Feb-14,Sunday,2,Feb,2014,189,189
10-Feb-14,Monday,2,Feb,2014,439,439
11-Feb-14,Tuesday,2,Feb,2014,421,421
12-Feb-14,Wednesday,2,Feb,2014,541,541
13-Feb-14,Thursday,2,Feb,2014,596,596
14-Feb-14,Friday,2,Feb,2014,391,391
15-Feb-14,Saturday,3,Feb,2014,272,272
16-Feb-14,Sunday,3,Feb,2014,225,225
17-Feb-14,Monday,3,Feb,2014,500,500
18-Feb-14,Tuesday,3,Feb,2014,488,488
19-Feb-14,Wednesday,3,Feb,2014,435,435
20-Feb-14,Thursday,3,Feb,2014,523,523
21-Feb-14,Friday,3,Feb,2014,408,408
22-Feb-14,Saturday,4,Feb,2014,272,272
23-Feb-14,Sunday,4,Feb,2014,179,179
24-Feb-14,Monday,4,Feb,2014,419,419
25-Feb-14,Tuesday,4,Feb,2014,444,444
26-Feb-14,Wednesday,4,Feb,2014,463,463
27-Feb-14,Thursday,4,Feb,2014,491,491
28-Feb-14,Friday,4,Feb,2014,433,433
1-Mar-14,Saturday,1,Mar,2014,240,240
2-Mar-14,Sunday,1,Mar,2014,242,242
3-Mar-14,Monday,1,Mar,2014,454,454
4-Mar-14,Tuesday,1,Mar,2014,401,401
5-Mar-14,Wednesday,1,Mar,2014,405,405
6-Mar-14,Thursday,1,Mar,2014,446,446
7-Mar-14,Friday,1,Mar,2014,424,424
8-Mar-14,Saturday,2,Mar,2014,287,287
9-Mar-14,Sunday,2,Mar,2014,165,165
10-Mar-14,Monday,2,Mar,2014,490,490
11-Mar-14,Tuesday,2,Mar,2014,510,510
12-Mar-14,Wednesday,2,Mar,2014,502,502
13-Mar-14,Thursday,2,Mar,2014,710,710
14-Mar-14,Friday,2,Mar,2014,569,569
15-Mar-14,Saturday,3,Mar,2014,295,295
16-Mar-14,Sunday,3,Mar,2014,313,202
17-Mar-14,Monday,3,Mar,2014,537,537
18-Mar-14,Tuesday,3,Mar,2014,496,496
19-Mar-14,Wednesday,3,Mar,2014,445,445
20-Mar-14,Thursday,3,Mar,2014,512,512
21-Mar-14,Friday,3,Mar,2014,435,435
22-Mar-14,Saturday,4,Mar,2014,237,237
23-Mar-14,Sunday,4,Mar,2014,189,189
24-Mar-14,Monday,4,Mar,2014,445,445
25-Mar-14,Tuesday,4,Mar,2014,409,409
26-Mar-14,Wednesday,4,Mar,2014,478,478
27-Mar-14,Thursday,4,Mar,2014,498,498
28-Mar-14,Friday,4,Mar,2014,422,422
29-Mar-14,Saturday,5,Mar,2014,251,251
30-Mar-14,Sunday,5,Mar,2014,225,225
31-Mar-14,Monday,5,Mar,2014,447,447
1-Apr-14,Tuesday,1,Apr,2014,421,421
2-Apr-14,Wednesday,1,Apr,2014,523,523
3-Apr-14,Thursday,1,Apr,2014,510,510
4-Apr-14,Friday,1,Apr,2014,479,479
5-Apr-14,Saturday,1,Apr,2014,239,239
6-Apr-14,Sunday,1,Apr,2014,243,243
7-Apr-14,Monday,1,Apr,2014,449,449
8-Apr-14,Tuesday,2,Apr,2014,426,426
9-Apr-14,Wednesday,2,Apr,2014,406,406
10-Apr-14,Thursday,2,Apr,2014,494,494
11-Apr-14,Friday,2,Apr,2014,383,383
12-Apr-14,Saturday,2,Apr,2014,215,215
13-Apr-14,Sunday,2,Apr,2014,183,183
14-Apr-14,Monday,2,Apr,2014,421,421
15-Apr-14,Tuesday,3,Apr,2014,439,439
16-Apr-14,Wednesday,3,Apr,2014,534,534
17-Apr-14,Thursday,3,Apr,2014,713,713
18-Apr-14,Friday,3,Apr,2014,445,445
19-Apr-14,Saturday,3,Apr,2014,241,241
20-Apr-14,Sunday,3,Apr,2014,222,222
21-Apr-14,Monday,3,Apr,2014,500,500
22-Apr-14,Tuesday,4,Apr,2014,406,406
23-Apr-14,Wednesday,4,Apr,2014,403,403
24-Apr-14,Thursday,4,Apr,2014,470,470
25-Apr-14,Friday,4,Apr,2014,528,528
26-Apr-14,Saturday,4,Apr,2014,270,270
27-Apr-14,Sunday,4,Apr,2014,180,180
28-Apr-14,Monday,4,Apr,2014,508,508
29-Apr-14,Tuesday,5,Apr,2014,728,424
30-Apr-14,Wednesday,5,Apr,2014,886,465
1-May-14,Thursday,1,May,2014,708,708
2-May-14,Friday,1,May,2014,616,616
3-May-14,Saturday,1,May,2014,278,278
4-May-14,Sunday,1,May,2014,245,245
5-May-14,Monday,1,May,2014,528,528
6-May-14,Tuesday,1,May,2014,563,563
7-May-14,Wednesday,1,May,2014,443,443
8-May-14,Thursday,2,May,2014,482,482
9-May-14,Friday,2,May,2014,450,450
10-May-14,Saturday,2,May,2014,240,240
11-May-14,Sunday,2,May,2014,138,138
12-May-14,Monday,2,May,2014,464,464
13-May-14,Tuesday,2,May,2014,471,471
14-May-14,Wednesday,2,May,2014,482,482
15-May-14,Thursday,3,May,2014,582,582
16-May-14,Friday,3,May,2014,434,434
17-May-14,Saturday,3,May,2014,247,247
18-May-14,Sunday,3,May,2014,219,219
19-May-14,Monday,3,May,2014,515,515
20-May-14,Tuesday,3,May,2014,713,517
21-May-14,Wednesday,3,May,2014,673,673
22-May-14,Thursday,4,May,2014,587,587
23-May-14,Friday,4,May,2014,541,541
24-May-14,Saturday,4,May,2014,263,263
25-May-14,Sunday,4,May,2014,185,185
26-May-14,Monday,4,May,2014,326,326
27-May-14,Tuesday,4,May,2014,508,508
28-May-14,Wednesday,4,May,2014,454,454
29-May-14,Thursday,5,May,2014,475,475
30-May-14,Friday,5,May,2014,452,452
31-May-14,Saturday,5,May,2014,228,228
1-Jun-14,Sunday,1,Jun,2014,196,196
2-Jun-14,Monday,1,Jun,2014,517,517
3-Jun-14,Tuesday,1,Jun,2014,533,533
4-Jun-14,Wednesday,1,Jun,2014,694,468
5-Jun-14,Thursday,1,Jun,2014,619,619
6-Jun-14,Friday,1,Jun,2014,527,527
7-Jun-14,Saturday,1,Jun,2014,240,240
8-Jun-14,Sunday,2,Jun,2014,183,183
9-Jun-14,Monday,2,Jun,2014,534,534
10-Jun-14,Tuesday,2,Jun,2014,541,541
11-Jun-14,Wednesday,2,Jun,2014,561,561
12-Jun-14,Thursday,2,Jun,2014,653,653
13-Jun-14,Friday,2,Jun,2014,496,496
14-Jun-14,Saturday,2,Jun,2014,259,259
15-Jun-14,Sunday,3,Jun,2014,230,230
16-Jun-14,Monday,3,Jun,2014,542,542
17-Jun-14,Tuesday,3,Jun,2014,455,455
18-Jun-14,Wednesday,3,Jun,2014,507,507
19-Jun-14,Thursday,3,Jun,2014,563,563
20-Jun-14,Friday,3,Jun,2014,521,521
21-Jun-14,Saturday,3,Jun,2014,301,301
22-Jun-14,Sunday,4,Jun,2014,187,187
23-Jun-14,Monday,4,Jun,2014,471,471
24-Jun-14,Tuesday,4,Jun,2014,485,485
25-Jun-14,Wednesday,4,Jun,2014,682,534
26-Jun-14,Thursday,4,Jun,2014,545,545
27-Jun-14,Friday,4,Jun,2014,429,429
28-Jun-14,Saturday,4,Jun,2014,277,277
29-Jun-14,Sunday,5,Jun,2014,225,225
30-Jun-14,Monday,5,Jun,2014,468,468
1-Jul-14,Tuesday,1,Jul,2014,628,628
2-Jul-14,Wednesday,1,Jul,2014,516,516
3-Jul-14,Thursday,1,Jul,2014,453,453
4-Jul-14,Friday,1,Jul,2014,206,206
5-Jul-14,Saturday,1,Jul,2014,184,184
6-Jul-14,Sunday,1,Jul,2014,144,144
7-Jul-14,Monday,1,Jul,2014,449,449
8-Jul-14,Tuesday,2,Jul,2014,398,398
9-Jul-14,Wednesday,2,Jul,2014,461,461
10-Jul-14,Thursday,2,Jul,2014,451,451
11-Jul-14,Friday,2,Jul,2014,429,429
12-Jul-14,Saturday,2,Jul,2014,186,186
13-Jul-14,Sunday,2,Jul,2014,175,175
14-Jul-14,Monday,2,Jul,2014,474,474
15-Jul-14,Tuesday,3,Jul,2014,431,431
16-Jul-14,Wednesday,3,Jul,2014,448,448
17-Jul-14,Thursday,3,Jul,2014,545,545
18-Jul-14,Friday,3,Jul,2014,393,393
19-Jul-14,Saturday,3,Jul,2014,213,213
20-Jul-14,Sunday,3,Jul,2014,157,157
21-Jul-14,Monday,3,Jul,2014,429,429
22-Jul-14,Tuesday,4,Jul,2014,399,399
23-Jul-14,Wednesday,4,Jul,2014,388,388
24-Jul-14,Thursday,4,Jul,2014,386,386
25-Jul-14,Friday,4,Jul,2014,306,306
26-Jul-14,Saturday,4,Jul,2014,194,194
27-Jul-14,Sunday,4,Jul,2014,143,143
28-Jul-14,Monday,4,Jul,2014,367,367
29-Jul-14,Tuesday,5,Jul,2014,442,442
30-Jul-14,Wednesday,5,Jul,2014,348,348
31-Jul-14,Thursday,5,Jul,2014,351,351
1-Aug-14,Friday,1,Aug,2014,378,378
2-Aug-14,Saturday,1,Aug,2014,149,149
3-Aug-14,Sunday,1,Aug,2014,129,129
4-Aug-14,Monday,1,Aug,2014,294,294
5-Aug-14,Tuesday,1,Aug,2014,376,376
6-Aug-14,Wednesday,1,Aug,2014,421,421
7-Aug-14,Thursday,1,Aug,2014,409,409
8-Aug-14,Friday,2,Aug,2014,324,324
9-Aug-14,Saturday,2,Aug,2014,189,189
10-Aug-14,Sunday,2,Aug,2014,174,174
11-Aug-14,Monday,2,Aug,2014,404,404
12-Aug-14,Tuesday,2,Aug,2014,367,367
13-Aug-14,Wednesday,2,Aug,2014,425,425
14-Aug-14,Thursday,2,Aug,2014,467,467
15-Aug-14,Friday,3,Aug,2014,391,391
16-Aug-14,Saturday,3,Aug,2014,190,190
17-Aug-14,Sunday,3,Aug,2014,196,196
18-Aug-14,Monday,3,Aug,2014,350,350
19-Aug-14,Tuesday,3,Aug,2014,374,374
20-Aug-14,Wednesday,3,Aug,2014,369,369
